linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.00596496,0,0,0,0,0
0.0357899,0,0,0,0,0
0.0596498,0,0,0,0,0
0.0656148,0,0,0,0,0
0.0835097,0,0,0,0,0
0.0954397,0,0,0,0,0
0.101405,0,0,0,0,0
0.10737,0,0,0,0,0
0.1193,0,0,0,0,0
0.137195,0,0,0,0,0
0.149125,0,0,0,0,0
0.161054,0,0,0,0,0
0.16702,0,0,0,0,0
0.172984,0,0,0,0,0
0.184914,0,0,0,0,0
0.226669,0,0,0,0,0
0.310179,0,0,0,0,0
0.387747,0,0,0,0,0
0.459327,0,0,0,0,0
0.530906,0,0,0,0,0
0.572661,0,0,0,0,0
0.584591,0,0,0,0,0
0.584591,0,0,0,0,0
0.590556,0,0,0,0,0
0.590556,0,0,0,0,0.000441748
0.590556,0,0,0,0,0.00235301
0.590556,0,0,0,0,0.00472667
0.590556,0,0,0,0,0.00817927
0.590556,0,0,0,0,0.0121559
0.590556,0,0,0,0,0.0158551
0.590556,0,0,0,0,0.0188762
0.590556,0,0,0,0,0.0216197
0.590556,0,0,0,0,0.0239626
0.590556,0,0,0,0,0.025843
0.590556,0,0,0,0,0.0273227
0.590556,0,0,0,0,0.0285558
0.590556,0,0,0,0,0.0298505
0.590556,0,0,0,0,0.0314535
0.590556,0,0,0,0,0.0332414
0.590556,0,0,0,0,0.0347828
0.590556,0,0,0,0,0.035985
0.596521,0,0,0,0,0.0367249
0.608451,0,0,0,0,0.0369098
0.620381,0,0,0,0,0.0369098
0.626346,0,0,0,0,0.0369098
0.632311,0,0,0,0,0.0369098
0.656171,0,0,0,0,0.0369098
0.75,0,0,0,0,0.0369098
0.867712,0,0,0,0,0.0369098
0.992977,0,0,0,0,0.0369098
1.11824,0,0,0,0,0.0369098
1.37476,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369098
1.5,0,0,0,0,0.0369715
1.5,0,0,0,0,0.0373106
1.5,0,0,0,0,0.0379579
1.5,0,0,0,0,0.0390369
1.5,0,0,0,0,0.0403624
1.5,0,0,0,0,0.0419962
1.5,0,0,0,0,0.0437534
1.5,0,0,0,0,0.0457571
1.5,0,0,0,0,0.04773
1.5,0,0,0,0,0.0493947
1.5,0,0,0,0,0.0505661
1.5,0,0,0,0,0.051645
1.5,0,0,0,0,0.0528164
1.5,0,0,0,0,0.0540495
1.5,0,0,0,0,0.0552209
1.5,0,0,0,0,0.0559916
1.5,0,0,0,0,0.0561149
1.5,0,0,0,0,0.0561149
1.5,0,0,0,0,0.0561149
1.5,0,0,0,0,0.0561457
1.5,0,0,0,0,0.0561457
1.5,0,0,0,0,0.0561457
1.5,0,0,0,0,0.0563615
1.5,0,0,0,0,0.0570705
1.5,0,0,0,0,0.0577796
1.5,0,0,0,0,0.0581495
1.5,0,0,0,0,0.0582111
1.5,0,0,0,0,0.0582111
1.5,0,0,0,0,0.0582111
1.5,0,0,0,0,0.0582111
1.5,0,0,0,0,0.0582111
1.5,0,0,0,0,0.0582111
1.5,0,0,0,0,0.0583344
1.5,0,0,0,0,0.0586735
1.5,0,0,0,0,0.0592284
1.5,0,0,0,0,0.0598141
1.5,0,0,0,0,0.0602457
1.5,0,0,0,0,0.0608314
1.5,0,0,0,0,0.061972
1.5,0,0,0,0,0.0636675
1.5,0,0,0,0,0.0658253
1.5,0,0,0,0,0.0683223
1.5,0,0,0,0,0.0713433
1.5,0,0,0,0,0.0751042
1.5,0,0,0,0,0.0791425
1.5,0,0,0,0,0.0830575
1.5,0,0,0,0,0.0884214
1.5,0,0,0,0,0.0946484
1.5,0,0,0,0,0.101523
1.5,0,0,0,0,0.109353
1.5,0,0,0,0,0.119464
1.5,0,0,0,0,0.12976
1.5,0,0,0,0,0.139039
1.5,0,0,0,0,0.147455
1.5,0,0,0,0,0.153712
1.5,0,0,0,0,0.157812
1.5,0,0,0,0,0.159909
1.5,0,0,0,0,0.160525
1.5,0,0,0,0,0.160525
1.5,0,0,0,0,0.161173
1.5,0,0,0,0,0.164933
1.5,0,0,0,0,0.17264
1.5,0,0,0,0,0.182659
1.5,0,0,0,0,0.194589
1.5,0,0,0,0,0.206827
1.5,0,0,0,0,0.219343
1.5,0,0,0,0,0.231488
1.49406,0,0,0,0,0.242987
1.48213,0,0,0,0,0.254177
1.4523,0,0,0,0,0.263178
1.41651,0,0,0,0,0.27107
1.39265,0,0,0,0,0.27739
1.38072,0,0,0,0,0.282908
1.37476,0,0,0,0,0.289319
1.333,0,0,0,0,0.298259
1.27932,0,0,0,0,0.307754
1.2316,0,0,0,0,0.317557
1.16598,0,0,0,0,0.327421
1.12423,0,0,0,0,0.336762
1.07649,0,0,0,0,0.346195
1.02877,0,0,0,0,0.355844
1.01087,0,0,0,0,0.366232
0.992977,0,0,0,0,0.375881
0.969117,0,0,0,0,0.383372
0.915432,0,0,0,0,0.390894
0.861747,0,0,0,0,0.398354
0.814027,0,0,0,0,0.404827
0.802097,0,0,0,0,0.41013
0.802097,0,0,0,0,0.415401
0.802097,0,0,0,0,0.419717
0.802097,0,0,0,0,0.423385
0.802097,0,0,0,0,0.426776
0.802097,0,0,0,0,0.429489
0.802097,0,0,0,0,0.432171
0.802097,0,0,0,0,0.434853
0.802097,0,0,0,0,0.437041
0.802097,0,0,0,0,0.438274
0.802097,0,0,0,0,0.439261
0.802097,0,0,0,0,0.441203
0.843852,0,0,0,0,0.443176
0.867712,0,0,0,0,0.445303
0.873677,0,0,0,0,0.448293
0.891572,0,0,0,0,0.451499
0.915432,0,0,0,0,0.455414
0.957187,0,0,0,0,0.459514
0.981047,0,0,0,0,0.465155
0.987012,0,0,0,0,0.478103
0.992977,0,0,0,0,0.494379
0.998942,0,0,0,0,0.511026
1.0228,0,0,0,0,0.525329
1.03473,0,0,0,0,0.534177
1.05263,0,0,0,0,0.53578
1.06456,0,0,0,0,0.53578
1.10035,0,0,0,0,0.535687
1.13616,0,0,0,0,0.534485
1.14809,0,0,0,0,0.52983
1.16002,0,0,0,0,0.52012
